"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1973",5780.332232,
"AUS","GDP","TOT","USD_CAP","A","1974",6229.332791,
"AUS","GDP","TOT","USD_CAP","A","1975",6920.647946,
"AUS","GDP","TOT","USD_CAP","A","1976",7377.136633,
"AUS","GDP","TOT","USD_CAP","A","1977",7707.309245,
"AUS","GDP","TOT","USD_CAP","A","1978",8530.852646,
"AUS","GDP","TOT","USD_CAP","A","1979",9431.085927,
"AUS","GDP","TOT","USD_CAP","A","1980",10450.074214,
"AUS","GDP","TOT","USD_CAP","A","1981",11924.422157,
"AUS","GDP","TOT","USD_CAP","A","1982",11959.062085,
"AUS","GDP","TOT","USD_CAP","A","1983",12742.593915,
"AUS","GDP","TOT","USD_CAP","A","1984",13558.887189,
"AUS","GDP","TOT","USD_CAP","A","1985",14495.430755,
"AUS","GDP","TOT","USD_CAP","A","1986",14921.385787,
"AUS","GDP","TOT","USD_CAP","A","1987",16037.945658,
"AUS","GDP","TOT","USD_CAP","A","1988",17073.509875,
"AUS","GDP","TOT","USD_CAP","A","1989",17790.141016,
"AUS","GDP","TOT","USD_CAP","A","1990",17785.328152,
"AUS","GDP","TOT","USD_CAP","A","1991",18132.432962,
"AUS","GDP","TOT","USD_CAP","A","1992",19109.048164,
"AUS","GDP","TOT","USD_CAP","A","1993",20133.473549,
"AUS","GDP","TOT","USD_CAP","A","1994",21364.808576,
"AUS","GDP","TOT","USD_CAP","A","1995",22372.99337,
"AUS","GDP","TOT","USD_CAP","A","1996",23234.667226,
"AUS","GDP","TOT","USD_CAP","A","1997",24413.680589,
"AUS","GDP","TOT","USD_CAP","A","1998",25656.931745,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28260.390995,
"AUS","GDP","TOT","USD_CAP","A","2001",29453.585522,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32203.982172,
"AUS","GDP","TOT","USD_CAP","A","2004",33886.624494,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37862.570607,
"AUS","GDP","TOT","USD_CAP","A","2007",39612.856505,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41613.636163,
"AUS","GDP","TOT","USD_CAP","A","2010",42812.136116,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47638.633438,
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50262.606439,
"AUS","GDP","TOT","USD_CAP","A","2017",51993.845657,
"AUS","GDP","TOT","USD_CAP","A","2018",54144.177019,"E"
"AUT","GDP","TOT","MLN_USD","A","1970",28549.1071,"E"
"AUT","GDP","TOT","MLN_USD","A","1971",31530.056,"E"
"AUT","GDP","TOT","MLN_USD","A","1972",34934.9789,"E"
"AUT","GDP","TOT","MLN_USD","A","1973",38650.3149,"E"
"AUT","GDP","TOT","MLN_USD","A","1974",43789.773,"E"
"AUT","GDP","TOT","MLN_USD","A","1975",47672.5065,"E"
"AUT","GDP","TOT","MLN_USD","A","1976",52598.1629,"E"
"AUT","GDP","TOT","MLN_USD","A","1977",58704.2724,"E"
"AUT","GDP","TOT","MLN_USD","A","1978",62701.0722,"E"
"AUT","GDP","TOT","MLN_USD","A","1979",71540.4916,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79353.3779,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86736.6,"E"
"AUT","GDP","TOT","MLN_USD","A","1982",93947.6506,"E"
"AUT","GDP","TOT","MLN_USD","A","1983",100529.9148,"E"
"AUT","GDP","TOT","MLN_USD","A","1984",104210.1573,"E"
"AUT","GDP","TOT","MLN_USD","A","1985",110191.9696,"E"
"AUT","GDP","TOT","MLN_USD","A","1986",114998.1425,"E"
"AUT","GDP","TOT","MLN_USD","A","1987",119440.7697,"E"
"AUT","GDP","TOT","MLN_USD","A","1988",127729.4533,"E"
"AUT","GDP","TOT","MLN_USD","A","1989",137896.464,"E"
"AUT","GDP","TOT","MLN_USD","A","1990",149275.1947,"E"
"AUT","GDP","TOT","MLN_USD","A","1991",159634.5506,"E"
"AUT","GDP","TOT","MLN_USD","A","1992",166690.6254,"E"
"AUT","GDP","TOT","MLN_USD","A","1993",171538.9411,"E"
"AUT","GDP","TOT","MLN_USD","A","1994",179410.5062,"E"
"AUT","GDP","TOT","MLN_USD","A","1995",188059.4525,
"AUT","GDP","TOT","MLN_USD","A","1996",195228.3593,
"AUT","GDP","TOT","MLN_USD","A","1997",202579.9761,
"AUT","GDP","TOT","MLN_USD","A","1998",212777.6308,
"AUT","GDP","TOT","MLN_USD","A","1999",220639.939,
"AUT","GDP","TOT","MLN_USD","A","2000",235380.4085,
"AUT","GDP","TOT","MLN_USD","A","2001",238978.4094,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.7843,
"AUT","GDP","TOT","MLN_USD","A","2003",260767.9054,
"AUT","GDP","TOT","MLN_USD","A","2004",275747.0012,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.7221,
"AUT","GDP","TOT","MLN_USD","A","2006",311091.8412,
"AUT","GDP","TOT","MLN_USD","A","2007",326780.2903,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.9764,
"AUT","GDP","TOT","MLN_USD","A","2009",341463.0176,
"AUT","GDP","TOT","MLN_USD","A","2010",351313.6961,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.1762,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.2445,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.5187,
"AUT","GDP","TOT","MLN_USD","A","2015",431091.5577,
"AUT","GDP","TOT","MLN_USD","A","2016",452642.7859,
"AUT","GDP","TOT","MLN_USD","A","2017",474514.7146,
"AUT","GDP","TOT","MLN_USD","A","2018",490609.5913,
"AUT","GDP","TOT","USD_CAP","A","1970",3823.61049,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4203.710914,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4631.120403,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5095.273075,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5762.932267,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6290.473623,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6952.34804,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7756.466328,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8291.264657,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9476.283505,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10511.170558,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11459.892112,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12403.738328,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13294.24904,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13781.798181,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14566.054551,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15191.713605,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15768.620182,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16839.039589,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18097.679581,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19442.317142,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20585.015394,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21259.636773,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21698.32103,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22606.834495,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23660.401982,
"AUT","GDP","TOT","USD_CAP","A","1996",24529.20805,
"AUT","GDP","TOT","USD_CAP","A","1997",25424.06297,
"AUT","GDP","TOT","USD_CAP","A","1998",26674.596858,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29380.074816,
"AUT","GDP","TOT","USD_CAP","A","2001",29715.208017,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32121.216514,
"AUT","GDP","TOT","USD_CAP","A","2004",33753.472389,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37626.245494,
"AUT","GDP","TOT","USD_CAP","A","2007",39393.953567,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40935.528801,
"AUT","GDP","TOT","USD_CAP","A","2010",42017.796539,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49955.456118,
"AUT","GDP","TOT","USD_CAP","A","2016",51790.942027,
"AUT","GDP","TOT","USD_CAP","A","2017",53952.33384,
"AUT","GDP","TOT","USD_CAP","A","2018",55513.222069,
"BEL","GDP","TOT","MLN_USD","A","1970",37251.5741,"E"
"BEL","GDP","TOT","MLN_USD","A","1971",40608.8441,"E"
"BEL","GDP","TOT","MLN_USD","A","1972",44590.7846,"E"
"BEL","GDP","TOT","MLN_USD","A","1973",49913.9021,"E"
"BEL","GDP","TOT","MLN_USD","A","1974",56690.3309,"E"
"BEL","GDP","TOT","MLN_USD","A","1975",61119.3795,"E"
"BEL","GDP","TOT","MLN_USD","A","1976",68128.0795,"E"
"BEL","GDP","TOT","MLN_USD","A","1977",72814.2013,"E"
"BEL","GDP","TOT","MLN_USD","A","1978",80150.6988,"E"
"BEL","GDP","TOT","MLN_USD","A","1979",88832.5257,"E"
"BEL","GDP","TOT","MLN_USD","A","1980",101195.503,"E"
"BEL","GDP","TOT","MLN_USD","A","1981",110461.4385,"E"
"BEL","GDP","TOT","MLN_USD","A","1982",117983.8259,"E"
"BEL","GDP","TOT","MLN_USD","A","1983",122987.3197,"E"
"BEL","GDP","TOT","MLN_USD","A","1984",130567.1277,"E"
"BEL","GDP","TOT","MLN_USD","A","1985",136921.1448,"E"
"BEL","GDP","TOT","MLN_USD","A","1986",142224.6024,"E"
"BEL","GDP","TOT","MLN_USD","A","1987",149102.8458,"E"
"BEL","GDP","TOT","MLN_USD","A","1988",161653.2101,"E"
"BEL","GDP","TOT","MLN_USD","A","1989",173818.4386,"E"
"BEL","GDP","TOT","MLN_USD","A","1990",185982.5664,"E"
"BEL","GDP","TOT","MLN_USD","A","1991",195796.5317,"E"
"BEL","GDP","TOT","MLN_USD","A","1992",203323.8226,"E"
"BEL","GDP","TOT","MLN_USD","A","1993",206139.0803,"E"
"BEL","GDP","TOT","MLN_USD","A","1994",217335.0261,"E"
"BEL","GDP","TOT","MLN_USD","A","1995",227183.7646,
"BEL","GDP","TOT","MLN_USD","A","1996",230714.3314,
"BEL","GDP","TOT","MLN_USD","A","1997",241598.8362,
"BEL","GDP","TOT","MLN_USD","A","1998",248632.2077,
"BEL","GDP","TOT","MLN_USD","A","1999",260168.7813,
"BEL","GDP","TOT","MLN_USD","A","2000",284866.011,
"BEL","GDP","TOT","MLN_USD","A","2001",296254.4151,
"BEL","GDP","TOT","MLN_USD","A","2002",312900.4753,
"BEL","GDP","TOT","MLN_USD","A","2003",320607.9971,
"BEL","GDP","TOT","MLN_USD","A","2004",333829.341,
"BEL","GDP","TOT","MLN_USD","A","2005",347658.439,
"BEL","GDP","TOT","MLN_USD","A","2006",371526.6595,
"BEL","GDP","TOT","MLN_USD","A","2007",390554.5158,
"BEL","GDP","TOT","MLN_USD","A","2008",405729.43,
"BEL","GDP","TOT","MLN_USD","A","2009",407646.0327,
"BEL","GDP","TOT","MLN_USD","A","2010",434046.3756,
"BEL","GDP","TOT","MLN_USD","A","2011",451932.6253,
"BEL","GDP","TOT","MLN_USD","A","2012",469720.3355,
"BEL","GDP","TOT","MLN_USD","A","2013",487343.7965,
"BEL","GDP","TOT","MLN_USD","A","2014",503619.6227,
"BEL","GDP","TOT","MLN_USD","A","2015",521017.5628,
"BEL","GDP","TOT","MLN_USD","A","2016",542270.4343,
"BEL","GDP","TOT","MLN_USD","A","2017",571270.0271,
"BEL","GDP","TOT","MLN_USD","A","2018",587185.6385,
"BEL","GDP","TOT","USD_CAP","A","1970",3870.248454,"E"
"BEL","GDP","TOT","USD_CAP","A","1971",4203.7858,"E"
"BEL","GDP","TOT","USD_CAP","A","1972",4598.876547,"E"
"BEL","GDP","TOT","USD_CAP","A","1973",5132.546487,"E"
"BEL","GDP","TOT","USD_CAP","A","1974",5811.449658,"E"
"BEL","GDP","TOT","USD_CAP","A","1975",6248.210249,"E"
"BEL","GDP","TOT","USD_CAP","A","1976",6953.348705,"E"
"BEL","GDP","TOT","USD_CAP","A","1977",7423.304901,"E"
"BEL","GDP","TOT","USD_CAP","A","1978",8164.600406,"E"
"BEL","GDP","TOT","USD_CAP","A","1979",9042.540815,"E"
"BEL","GDP","TOT","USD_CAP","A","1980",10290.545906,"E"
"BEL","GDP","TOT","USD_CAP","A","1981",11224.817162,"E"
"BEL","GDP","TOT","USD_CAP","A","1982",11979.497902,"E"
"BEL","GDP","TOT","USD_CAP","A","1983",12481.200146,"E"
"BEL","GDP","TOT","USD_CAP","A","1984",13249.082067,"E"
"BEL","GDP","TOT","USD_CAP","A","1985",13891.0263,"E"
"BEL","GDP","TOT","USD_CAP","A","1986",14426.149564,"E"
"BEL","GDP","TOT","USD_CAP","A","1987",15106.96936,"E"
"BEL","GDP","TOT","USD_CAP","A","1988",16322.33436,"E"
"BEL","GDP","TOT","USD_CAP","A","1989",17487.109461,"E"
"BEL","GDP","TOT","USD_CAP","A","1990",18658.330245,"E"
"BEL","GDP","TOT","USD_CAP","A","1991",19568.298497,"E"
"BEL","GDP","TOT","USD_CAP","A","1992",20237.666387,"E"
"BEL","GDP","TOT","USD_CAP","A","1993",20438.543273,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21484.708793,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22411.783265,
"BEL","GDP","TOT","USD_CAP","A","1996",22715.705195,
"BEL","GDP","TOT","USD_CAP","A","1997",23731.063305,
"BEL","GDP","TOT","USD_CAP","A","1998",24369.972528,
"BEL","GDP","TOT","USD_CAP","A","1999",25440.896241,
"BEL","GDP","TOT","USD_CAP","A","2000",27788.552657,
"BEL","GDP","TOT","USD_CAP","A","2001",28800.032579,
"BEL","GDP","TOT","USD_CAP","A","2002",30282.254116,
"BEL","GDP","TOT","USD_CAP","A","2003",30898.699618,
"BEL","GDP","TOT","USD_CAP","A","2004",32033.983077,
"BEL","GDP","TOT","USD_CAP","A","2005",33177.947339,
"BEL","GDP","TOT","USD_CAP","A","2006",35222.474358,
"BEL","GDP","TOT","USD_CAP","A","2007",36755.650522,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37757.239173,
"BEL","GDP","TOT","USD_CAP","A","2010",39836.849331,
"BEL","GDP","TOT","USD_CAP","A","2011",41108.701911,
"BEL","GDP","TOT","USD_CAP","A","2012",42440.26234,
"BEL","GDP","TOT","USD_CAP","A","2013",43806.183952,
"BEL","GDP","TOT","USD_CAP","A","2014",45047.283733,
"BEL","GDP","TOT","USD_CAP","A","2015",46360.062536,
"BEL","GDP","TOT","USD_CAP","A","2016",48009.777277,
"BEL","GDP","TOT","USD_CAP","A","2017",50336.152395,
"BEL","GDP","TOT","USD_CAP","A","2018",51490.800223,
"CAN","GDP","TOT","MLN_USD","A","1961",44376.8826,
"CAN","GDP","TOT","MLN_USD","A","1962",48656.2473,
"CAN","GDP","TOT","MLN_USD","A","1963",52000.4834,
"CAN","GDP","TOT","MLN_USD","A","1964",56477.7998,
"CAN","GDP","TOT","MLN_USD","A","1965",61893.966,
"CAN","GDP","TOT","MLN_USD","A","1966",68329.4005,
"CAN","GDP","TOT","MLN_USD","A","1967",72469.718,
"CAN","GDP","TOT","MLN_USD","A","1968",80115.4201,
"CAN","GDP","TOT","MLN_USD","A","1969",88783.7692,
"CAN","GDP","TOT","MLN_USD","A","1970",99995.9987,
"CAN","GDP","TOT","MLN_USD","A","1971",109393.6734,
"CAN","GDP","TOT","MLN_USD","A","1972",120318.8434,
"CAN","GDP","TOT","MLN_USD","A","1973",135516.4377,
"CAN","GDP","TOT","MLN_USD","A","1974",152529.037,
"CAN","GDP","TOT","MLN_USD","A","1975",169327.6728,
"CAN","GDP","TOT","MLN_USD","A","1976",188775.0883,
"CAN","GDP","TOT","MLN_USD","A","1977",207403.8625,
"CAN","GDP","TOT","MLN_USD","A","1978",230628.4129,
"CAN","GDP","TOT","MLN_USD","A","1979",259097.8774,
"CAN","GDP","TOT","MLN_USD","A","1980",288045.304,
"CAN","GDP","TOT","MLN_USD","A","1981",324848.6588,
"CAN","GDP","TOT","MLN_USD","A","1982",333962.7145,
"CAN","GDP","TOT","MLN_USD","A","1983",356143.9454,
"CAN","GDP","TOT","MLN_USD","A","1984",390823.2786,
"CAN","GDP","TOT","MLN_USD","A","1985",422324.9463,
"CAN","GDP","TOT","MLN_USD","A","1986",440247.5497,
"CAN","GDP","TOT","MLN_USD","A","1987",469639.6028,
"CAN","GDP","TOT","MLN_USD","A","1988",507630.6696,
"CAN","GDP","TOT","MLN_USD","A","1989",539694.3522,
"CAN","GDP","TOT","MLN_USD","A","1990",560646.5918,
"CAN","GDP","TOT","MLN_USD","A","1991",567282.0237,
"CAN","GDP","TOT","MLN_USD","A","1992",585199.2776,
"CAN","GDP","TOT","MLN_USD","A","1993",614902.5499,
"CAN","GDP","TOT","MLN_USD","A","1994",656161.8004,
"CAN","GDP","TOT","MLN_USD","A","1995",687897.3277,
"CAN","GDP","TOT","MLN_USD","A","1996",711838.0864,
"CAN","GDP","TOT","MLN_USD","A","1997",755154.066,
"CAN","GDP","TOT","MLN_USD","A","1998",793410.9718,
"CAN","GDP","TOT","MLN_USD","A","1999",846410.4265,
"CAN","GDP","TOT","MLN_USD","A","2000",901015.2424,
"CAN","GDP","TOT","MLN_USD","A","2001",937265.1746,
"CAN","GDP","TOT","MLN_USD","A","2002",971003.3941,
"CAN","GDP","TOT","MLN_USD","A","2003",1023336.7535,
"CAN","GDP","TOT","MLN_USD","A","2004",1083183.0946,
"CAN","GDP","TOT","MLN_USD","A","2005",1171325.3311,
"CAN","GDP","TOT","MLN_USD","A","2006",1241294.1268,
"CAN","GDP","TOT","MLN_USD","A","2007",1300541.8517,
"CAN","GDP","TOT","MLN_USD","A","2008",1342397.4236,
"CAN","GDP","TOT","MLN_USD","A","2009",1308017.4298,
"CAN","GDP","TOT","MLN_USD","A","2010",1363823.0163,
"CAN","GDP","TOT","MLN_USD","A","2011",1430807.1253,
"CAN","GDP","TOT","MLN_USD","A","2012",1468095.7685,
"CAN","GDP","TOT","MLN_USD","A","2013",1554122.7451,
"CAN","GDP","TOT","MLN_USD","A","2014",1621391.8322,
"CAN","GDP","TOT","MLN_USD","A","2015",1594897.6212,
"CAN","GDP","TOT","MLN_USD","A","2016",1628880.1751,
"CAN","GDP","TOT","MLN_USD","A","2017",1710461.6154,
"CAN","GDP","TOT","MLN_USD","A","2018",1782787.1156,
"CAN","GDP","TOT","USD_CAP","A","1970",4612.321142,
"CAN","GDP","TOT","USD_CAP","A","1971",4981.036061,
"CAN","GDP","TOT","USD_CAP","A","1972",5415.264027,
"CAN","GDP","TOT","USD_CAP","A","1973",6025.15478,
"CAN","GDP","TOT","USD_CAP","A","1974",6687.532634,
"CAN","GDP","TOT","USD_CAP","A","1975",7316.495732,
"CAN","GDP","TOT","USD_CAP","A","1976",8050.176289,
"CAN","GDP","TOT","USD_CAP","A","1977",8741.685701,
"CAN","GDP","TOT","USD_CAP","A","1978",9624.273221,
"CAN","GDP","TOT","USD_CAP","A","1979",10705.840811,
"CAN","GDP","TOT","USD_CAP","A","1980",11749.437777,
"CAN","GDP","TOT","USD_CAP","A","1981",13088.226078,
"CAN","GDP","TOT","USD_CAP","A","1982",13296.312682,
"CAN","GDP","TOT","USD_CAP","A","1983",14039.959528,
"CAN","GDP","TOT","USD_CAP","A","1984",15262.329428,
"CAN","GDP","TOT","USD_CAP","A","1985",16342.506409,
"CAN","GDP","TOT","USD_CAP","A","1986",16867.542548,
"CAN","GDP","TOT","USD_CAP","A","1987",17758.032603,
"CAN","GDP","TOT","USD_CAP","A","1988",18947.277665,
"CAN","GDP","TOT","USD_CAP","A","1989",19785.85201,
"CAN","GDP","TOT","USD_CAP","A","1990",20246.426558,
"CAN","GDP","TOT","USD_CAP","A","1991",20233.032274,
"CAN","GDP","TOT","USD_CAP","A","1992",20626.478878,
"CAN","GDP","TOT","USD_CAP","A","1993",21436.556004,
"CAN","GDP","TOT","USD_CAP","A","1994",22625.751707,
"CAN","GDP","TOT","USD_CAP","A","1995",23475.872865,
"CAN","GDP","TOT","USD_CAP","A","1996",24040.285229,
"CAN","GDP","TOT","USD_CAP","A","1997",25250.965659,
"CAN","GDP","TOT","USD_CAP","A","1998",26310.940807,
"CAN","GDP","TOT","USD_CAP","A","1999",27841.270482,
"CAN","GDP","TOT","USD_CAP","A","2000",29362.679083,
"CAN","GDP","TOT","USD_CAP","A","2001",30214.286487,
"CAN","GDP","TOT","USD_CAP","A","2002",30964.680492,
"CAN","GDP","TOT","USD_CAP","A","2003",32341.467665,
"CAN","GDP","TOT","USD_CAP","A","2004",33915.178124,
"CAN","GDP","TOT","USD_CAP","A","2005",36328.767057,
"CAN","GDP","TOT","USD_CAP","A","2006",38110.988049,
"CAN","GDP","TOT","USD_CAP","A","2007",39544.657592,
"CAN","GDP","TOT","USD_CAP","A","2008",40377.98801,
"CAN","GDP","TOT","USD_CAP","A","2009",38896.015825,
"CAN","GDP","TOT","USD_CAP","A","2010",40106.220473,
"CAN","GDP","TOT","USD_CAP","A","2011",41662.530678,
"CAN","GDP","TOT","USD_CAP","A","2012",42246.69767,
"CAN","GDP","TOT","USD_CAP","A","2013",44211.03741,
"CAN","GDP","TOT","USD_CAP","A","2014",45627.577143,
"CAN","GDP","TOT","USD_CAP","A","2015",44671.364618,
"CAN","GDP","TOT","USD_CAP","A","2016",45109.47982,
"CAN","GDP","TOT","USD_CAP","A","2017",46810.319383,
"CAN","GDP","TOT","USD_CAP","A","2018",48106.911763,
"CZE","GDP","TOT","MLN_USD","A","1990",130818.7375,"E"
"CZE","GDP","TOT","MLN_USD","A","1991",119534.3451,"E"
"CZE","GDP","TOT","MLN_USD","A","1992",121639.1326,"E"
